#Aegean version 2.3.0-(2022-08-17)
# on dataset: NGC6822_A+B.comb_spw.wt_nbcont.image.fits
#isl,src   bkg       rms         RA           DEC         RA         err         DEC        err         Peak      err     S_int     err        a    err    b    err     pa   err    flags
#         Jy/beam   Jy/beam                               deg        deg         deg        deg       Jy/beam   Jy/beam    Jy       Jy         ''    ''    ''    ''    deg   deg   ZWNCPES
#============================================================================================================================================================================================
(0093,01) -0.000013  0.000059 19:45:32.95  -14:34:58.11 296.3872787  0.0002760 -14.5828084  0.0004664  0.000224  0.000053  0.000231  0.000228  3.91  3.10  2.03  1.08   -0.1   0.4   0000000
(0093,02) -0.000013  0.000058 19:45:32.84  -14:35:01.49 296.3868321  0.0002760 -14.5837478  0.0004664  0.000247  0.000053  0.000767  0.000534  4.98  3.10  4.78  1.08   -1.7   0.7   0000000
(0094,00) -0.000014  0.000062 19:45:33.22  -14:34:41.49 296.3884080  0.0000771 -14.5781907  0.0001125  0.000389  0.000049  0.001303  0.000243  6.34  0.55  4.06  0.43    1.0   0.2   0000000
(0096,00)  0.000003  0.000050 19:43:57.13  -14:34:35.87 295.9880571  0.0000557 -14.5766294  0.0000395  0.000488  0.000039  0.001405  0.000145  5.35  0.15  4.14  0.25   87.6   0.3   0000000
(0097,00) -0.000016  0.000062 19:45:33.46  -14:34:29.99 296.3894090  0.0000761 -14.5749965  0.0001173  0.000366  0.000057  0.000825  0.000184  5.26  0.58  3.29  0.39   -1.6   0.2   0000000
(0098,00) -0.000004  0.000064 19:45:36.47  -14:34:28.98 296.4019411  0.0001304 -14.5747154  0.0002954  0.000313  0.000052  0.001366  0.000494  8.21  1.75  4.09  0.98  -10.5   0.3   0000000
(0099,00) -0.000020  0.000068 19:45:33.86  -14:34:11.30 296.3910796  0.0001549 -14.5698068  0.0007373  0.000299  0.000614  0.000276  0.000598  3.49  1.99  2.03  0.83   -5.0   0.7   0000000
(0099,01) -0.000019  0.000072 19:45:33.92  -14:34:08.25 296.3913511  0.0001549 -14.5689588  0.0007373  0.000367  0.000614  0.000458  0.000815  3.91  1.98  2.45  0.83   -5.1   0.7   0000000
(0099,02) -0.000020  0.000067 19:45:33.78  -14:34:14.46 296.3907545  0.0001549 -14.5706834  0.0007373  0.000329  0.000614  0.000443  0.000865  4.47  1.99  2.32  0.83   -3.3   0.6   0000000
(0100,00) -0.000009  0.000077 19:45:35.82  -14:34:08.14 296.3992644  0.0000797 -14.5689284  0.0002549  0.000402  0.000060  0.002040  0.000529 10.61  1.66  3.67  0.53   -8.2   0.1   0000000
(0101,00) -0.000011  0.000092 19:45:34.04  -14:33:56.53 296.3918246  0.0032159 -14.5657033  0.0008157  0.000475  0.000201  0.007094  0.006677 12.73  6.25  9.01  6.15   38.1   5.3   0000000
(0102,00)  0.000000  0.000107 19:45:34.34  -14:33:46.55 296.3930660  0.0005187 -14.5629319  0.0043525  0.000481  0.001588  0.000824  0.003654  5.12 14.40  2.57  2.39   -3.2   1.1   0000000
(0102,01)  0.000000  0.000108 19:45:34.41  -14:33:43.40 296.3933941  0.0005187 -14.5620560  0.0043525  0.000412  0.001588  0.000461  0.002430  4.23 14.38  2.03  2.39   -4.2   1.1   0000000
(0103,00) -0.000001  0.000108 19:45:34.66  -14:33:31.59 296.3943974  0.0000143 -14.5587763  0.0000148  0.003188  0.000080  0.009375  0.000274  4.91  0.05  4.60  0.05   -5.9   0.3   0000000
(0104,00)  0.000004  0.000047 19:43:36.41  -14:33:23.31 295.9017117  0.0000821 -14.5564763  0.0000525  0.000356  0.000037  0.001114  0.000164  5.80  0.21  4.15  0.41   86.9   0.4   0000000
(0105,00) -0.000002  0.000054 19:44:17.31  -14:31:41.20 296.0721371  0.0001665 -14.5281102  0.0001306  0.000278  0.000053  0.000645  0.000245  4.24  0.71  4.21  1.20   -3.7  35.0   0000000
(0106,00) -0.000003  0.000055 19:45:31.06  -14:31:30.79 296.3794267  0.0001105 -14.5252195  0.0002305  0.000293  0.000043  0.001674  0.000478  9.14  1.59  4.81  0.82   -9.3   0.2   0000000
(0107,00)  0.000023  0.000054 19:44:09.24  -14:29:39.96 296.0384863  0.0001447 -14.4944338  0.0002448  0.000278  0.000044  0.001571  0.000548  9.01  1.87  4.82  1.11   -2.8   0.3   0000000
